file_name,title,display_id,upload_date,view_count,like_count,dislike_count,average_rating,creator,artist
Ashley Tisdale - He Said She Said (Video)-4sTHw7HEfHo.mp3,Ashley Tisdale - He Said She Said (Video),4sTHw7HEfHo,20070919,37845954,167327,6835,4.843055725,,
Look At Me Now - Chris Brown ft. Lil Wayne & Busta Rhymes (Lyrics)-_p9I5ipJFs0.mp3,Look At Me Now - Chris Brown ft. Lil Wayne & Busta Rhymes (Lyrics),_p9I5ipJFs0,20110310,120973309,363930,16874,4.82280159,Chris Brown,Chris Brown
"Kanye West & Lil Pump ft. Adele Givens - ""I Love It"" (Official Music Video)-cwQgjq0mCdE.mp3","Kanye West & Lil Pump ft. Adele Givens - ""I Love It"" (Official Music Video)",cwQgjq0mCdE,20180907,177763150,3413823,642361,4.366073132,Kanye West,Kanye West
Avril Lavigne - Head Above Water (Lyric Video)-v686vG5PSac.mp3,Avril Lavigne - Head Above Water (Lyric Video),v686vG5PSac,20180919,7958285,450165,3412,4.969229221,Avril Lavigne,Avril Lavigne
Taylor Swift - Delicate-tCXGJQYZ9JA.mp3,Taylor Swift - Delicate,tCXGJQYZ9JA,20180311,276648426,2802611,182838,4.753129959,Taylor Swift,Taylor Swift
The Pussycat Dolls - Don't Cha ft. Busta Rhymes-YNSxNsr4wmA.mp3,The Pussycat Dolls - Don't Cha ft. Busta Rhymes,YNSxNsr4wmA,20090626,181270853,650328,27583,4.836528301,"The Pussycat Dolls, Busta Rhymes","The Pussycat Dolls, Busta Rhymes"
Skillet - Monster (Official Video)-1mjlM_RnsVE.mp3,Skillet - Monster (Official Video),1mjlM_RnsVE,20091002,240106998,1522446,53028,4.865015984,Skillet,Skillet
Evanescence - Bring Me To Life-3YxaaGgTQYM.mp3,Evanescence - Bring Me To Life,3YxaaGgTQYM,20091202,545012131,3715965,99066,4.895742416,Evanescence,Evanescence
The Rasmus - In the Shadows [Crow Version] (Official Video)-7gwO8-oqwFw.mp3,The Rasmus - In the Shadows [Crow Version] (Official Video),7gwO8-oqwFw,20111202,24743509,195066,4979,4.899642468,The Rasmus,The Rasmus
blink-182 - All The Small Things-9Ht5RZpzPqw.mp3,blink-182 - All The Small Things,9Ht5RZpzPqw,20090616,200121764,758389,28622,4.853839397,Blink-182,Blink-182
Smashing Pumpkins-1979(DELUXE REMASTER 2012)-7LXO_I-uIis.mp3,Smashing Pumpkins-1979(DELUXE REMASTER 2012),7LXO_I-uIis,20121211,63219,515,6,4.953934669,The Smashing Pumpkins,The Smashing Pumpkins
Justin Bieber - Sorry (PURPOSE : The Movement)-fRh_vgS2dFE.mp3,Justin Bieber - Sorry (PURPOSE : The Movement),fRh_vgS2dFE,20151022,3013345567,10762737,1388983,4.542619228,Justin Bieber,Justin Bieber
3OH!3 - DON'T TRUST ME [OFFICIAL MUSIC VIDEO]-mdB3Oyd5HtU.mp3,3OH!3 - DON'T TRUST ME [OFFICIAL MUSIC VIDEO],mdB3Oyd5HtU,20081020,37033240,177305,7883,4.829352856,3OH!3,3OH!3
Craig David - 7 Days (Official Music Video)-Mpeohn2EdVc.mp3,Craig David - 7 Days (Official Music Video),Mpeohn2EdVc,20140501,3177738,15485,458,4.885090828,Craig David,Craig David
Lucky You (Feat. Joyner Lucas) [Official Audio]-1arz9Q9qBas.mp3,Lucky You (Feat. Joyner Lucas) [Official Audio],1arz9Q9qBas,20180830,22999642,428060,8623,4.920345783,Eminem,Eminem
Ne-Yo So Sick [Lyrics]-mqvvaOQWsBM.mp3,Ne-Yo So Sick [Lyrics],mqvvaOQWsBM,20090117,66728720,254433,8340,4.873157024,Ne-Yo,Ne-Yo
Thirty Seconds To Mars - The Kill (Bury Me)-8yvGCAvOAfM.mp3,Thirty Seconds To Mars - The Kill (Bury Me),8yvGCAvOAfM,20100922,127085931,848537,22447,4.896653175,Thirty Seconds to Mars,Thirty Seconds to Mars
Three Days Grace - I Hate Everything About You-d8ekz_CSBVg.mp3,Three Days Grace - I Hate Everything About You,d8ekz_CSBVg,20091002,201106679,1123489,31655,4.889996529,Three Days Grace,Three Days Grace
Limp Bizkit - Break Stuff-ZpUYjpKg9KY.mp3,Limp Bizkit - Break Stuff,ZpUYjpKg9KY,20091005,109252129,417748,23990,4.782180786,Limp Bizkit,Limp Bizkit
Remember The Name (Official Video) - Fort Minor-VDvr08sCPOc.mp3,Remember The Name (Official Video) - Fort Minor,VDvr08sCPOc,20100829,121709960,913752,22979,4.901673317,Fort Minor,Fort Minor
My God- This Beautiful Republic [With Lyrics]-30LczFt8vgY.mp3,My God- This Beautiful Republic [With Lyrics],30LczFt8vgY,20091128,11344,76,3,4.848101139,This Beautiful Republic,This Beautiful Republic
Cold - existence-ffePfl-Ew_c.mp3,Cold - existence,ffePfl-Ew_c,20161001,165174,4068,22,4.978484154,,
Last resort papa roach-JkEXUFlh_EA.mp3,Last resort papa roach,JkEXUFlh_EA,20090731,11669328,71157,3736,4.800461769,Papa Roach,Papa Roach
Paramore: Hard Times [OFFICIAL VIDEO]-AEB6ibtdPZc.mp3,Paramore: Hard Times [OFFICIAL VIDEO],AEB6ibtdPZc,20170419,73288094,879814,46737,4.798063278,Paramore,Paramore
Flyleaf - All Around Me MUSIC VIDEO-COqhFdHsi6M.mp3,Flyleaf - All Around Me MUSIC VIDEO,COqhFdHsi6M,20070628,1388305,4572,120,4.897698402,Flyleaf,Flyleaf
Bullet For My Valentine - Tears Don't Fall (Album Edit - with Scream / with Lighter)-9sTQ0QdkN3Q.mp3,Bullet For My Valentine - Tears Don't Fall (Album Edit - with Scream / with Lighter),9sTQ0QdkN3Q,20091025,123002231,649547,20305,4.878378868,Bullet For My Valentine,Bullet For My Valentine
Angels & Airwaves - The Adventure-JMl8cQjBfqk.mp3,Angels & Airwaves - The Adventure,JMl8cQjBfqk,20090616,15830376,72880,1961,4.895219326,Angels & Airwaves,Angels & Airwaves
Lafee-Ich bin ich with lyrics-W3umtMqiaEQ.mp3,Lafee-Ich bin ich with lyrics,W3umtMqiaEQ,20091217,601829,1493,35,4.908377171,LaFee,LaFee
IN FLAMES - Only For The Weak (OFFICIAL LIVE CLIP)-FwsrCSe50rA.mp3,IN FLAMES - Only For The Weak (OFFICIAL LIVE CLIP),FwsrCSe50rA,20160930,1247360,9200,340,4.857442379,,
Digital Summer - Counting The Hours-5W1MzQ2e8rs.mp3,Digital Summer - Counting The Hours,5W1MzQ2e8rs,20111117,46285,539,2,4.985212803,Digital Summer,Digital Summer
